"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 10:21:25 ICT 2023","Mon Oct 16 10:21:33 ICT 2023","8197","firefox","login\TC-0203_validate-input.spec.ts","Validate input when user do not enter account information","","","[TC-0203] Show error message when user enter username = Admin or password =",""
"passed","Mon Oct 16 10:21:50 ICT 2023","Mon Oct 16 10:21:56 ICT 2023","6126","webkit","login\TC-06_validate-input.spec.ts","Verify when user click Forgot Password ","","","[TC-06] User will be navigated to Reset password page",""
"passed","Mon Oct 16 10:21:32 ICT 2023","Mon Oct 16 10:21:39 ICT 2023","7014","firefox","login\TC-0405_validate-input.spec.ts","Validate input when user enter invalid account","","","[TC-0405] Show error alert when user enter username = Admin and password = abc",""
"passed","Mon Oct 16 10:21:33 ICT 2023","Mon Oct 16 10:21:39 ICT 2023","6165","firefox","login\TC-06_validate-input.spec.ts","Verify when user click Forgot Password ","","","[TC-06] User will be navigated to Reset password page",""
"passed","Mon Oct 16 10:21:15 ICT 2023","Mon Oct 16 10:21:22 ICT 2023","6859","chromium","login\TC-0405_validate-input.spec.ts","Validate input when user enter invalid account","","","[TC-0405] Show error alert when user enter username = Admin and password = abc",""
"passed","Mon Oct 16 10:21:40 ICT 2023","Mon Oct 16 10:21:50 ICT 2023","9859","webkit","login\TC-01_successfully-login.spec.ts","Successfully login to OrangeHRM","","","[TC-01] User can login to system successfully",""
"passed","Mon Oct 16 10:21:49 ICT 2023","Mon Oct 16 10:21:57 ICT 2023","7917","webkit","login\TC-0405_validate-input.spec.ts","Validate input when user enter invalid account","","","[TC-0405] Show error alert when user enter username = Admin and password = abc",""
"passed","Mon Oct 16 10:21:41 ICT 2023","Mon Oct 16 10:21:49 ICT 2023","7797","webkit","login\TC-0203_validate-input.spec.ts","Validate input when user do not enter account information","","","[TC-0203] Show error message when user enter username = Admin or password =",""
"passed","Mon Oct 16 10:21:13 ICT 2023","Mon Oct 16 10:21:19 ICT 2023","5868","chromium","login\TC-0405_validate-input.spec.ts","Validate input when user enter invalid account","","","[TC-0405] Show error alert when user enter username = abc and password = admin123",""
"passed","Mon Oct 16 10:21:41 ICT 2023","Mon Oct 16 10:21:49 ICT 2023","7443","webkit","login\TC-0203_validate-input.spec.ts","Validate input when user do not enter account information","","","[TC-0203] Show error message when user enter username =  or password = admin123",""
"passed","Mon Oct 16 10:21:20 ICT 2023","Mon Oct 16 10:21:31 ICT 2023","10556","firefox","login\TC-01_successfully-login.spec.ts","Successfully login to OrangeHRM","","","[TC-01] User can login to system successfully",""
"passed","Mon Oct 16 10:21:49 ICT 2023","Mon Oct 16 10:21:56 ICT 2023","6832","webkit","login\TC-0405_validate-input.spec.ts","Validate input when user enter invalid account","","","[TC-0405] Show error alert when user enter username = abc and password = admin123",""
"passed","Mon Oct 16 10:21:04 ICT 2023","Mon Oct 16 10:21:17 ICT 2023","12979","chromium","login\TC-01_successfully-login.spec.ts","Successfully login to OrangeHRM","","","[TC-01] User can login to system successfully",""
"passed","Mon Oct 16 10:21:23 ICT 2023","Mon Oct 16 10:21:32 ICT 2023","8700","firefox","login\TC-0203_validate-input.spec.ts","Validate input when user do not enter account information","","","[TC-0203] Show error message when user enter username =  or password = admin123",""
"passed","Mon Oct 16 10:21:17 ICT 2023","Mon Oct 16 10:21:23 ICT 2023","5814","chromium","login\TC-06_validate-input.spec.ts","Verify when user click Forgot Password ","","","[TC-06] User will be navigated to Reset password page",""
"passed","Mon Oct 16 10:21:31 ICT 2023","Mon Oct 16 10:21:38 ICT 2023","7395","firefox","login\TC-0405_validate-input.spec.ts","Validate input when user enter invalid account","","","[TC-0405] Show error alert when user enter username = abc and password = admin123",""
"passed","Mon Oct 16 10:21:04 ICT 2023","Mon Oct 16 10:21:15 ICT 2023","11102","chromium","login\TC-0203_validate-input.spec.ts","Validate input when user do not enter account information","","","[TC-0203] Show error message when user enter username = Admin or password =",""
"passed","Mon Oct 16 10:21:04 ICT 2023","Mon Oct 16 10:21:13 ICT 2023","9388","chromium","login\TC-0203_validate-input.spec.ts","Validate input when user do not enter account information","","","[TC-0203] Show error message when user enter username =  or password = admin123",""
